,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
0,EDMOND,0.98,8-7 (+1),1-1 (+0),58%,0.67,42%,0,0,50%,Thatcher,Castle
1,CHOLY,1.12,10-8 (+2),1-2 (-1),75%,0.83,33%,0,0,43%,Sledge,Valkyrie
2,JIMMYZ,1.18,9-6 (+3),1-0 (+1),75%,0.75,50%,0,0,44%,Zofia,Doc
3,DABU,1.34,11-7 (+4),1-2 (-1),75%,0.92,42%,1,1,50%,Thermite,Jager
4,CHANGTONG,0.95,7-10 (-3),1-2 (-1),75%,0.58,17%,0,1,43%,IQ,Smoke
5,MAZE,0.77,8-10 (-2),1-1 (+0),42%,0.67,17%,0,0,0%,Jackal,Mozzie
6,SKITTER,0.79,6-9 (-3),0-0 (+0),58%,0.5,25%,0,0,60%,Twitch,Bandit
7,BUNNYJAN,0.65,5-9 (-4),0-0 (+0),50%,0.42,25%,0,0,40%,Gridlock,Lesion
8,PANDAE,0.99,10-8 (+2),4-4 (+0),67%,0.83,33%,0,0,50%,Ash,Jager
9,DETRAIN,1.1,9-9 (+0),2-0 (+2),67%,0.75,25%,0,2,57%,Hibana,Valkyrie
0,EDMOND,0.95,7-8 (-1),1-0 (+1),64%,0.64,27%,0,0,29%,Maverick,Mute
1,CHOLY,1.37,13-7 (+6),4-2 (+2),73%,1.18,36%,0,0,67%,Buck,Mira
2,JIMMYZ,1.24,8-4 (+4),3-1 (+2),91%,0.73,64%,0,0,50%,Zofia,Doc
3,DABU,1.18,8-6 (+2),0-0 (+0),73%,0.73,45%,0,2,13%,Hibana,Jager
4,CHANGTONG,1.35,10-5 (+5),0-0 (+0),82%,0.91,55%,0,1,60%,Thatcher,Smoke
5,MAZE,0.53,4-9 (-5),1-2 (-1),36%,0.36,18%,0,0,50%,Zofia,Jager
6,SKITTER,1.03,10-9 (+1),1-1 (+0),55%,0.91,18%,1,0,10%,Capitao,Smoke
7,BUNNYJAN,0.57,4-9 (-5),0-1 (-1),36%,0.36,18%,1,0,50%,Nomad,Mozzie
